JURISDICTION_ID,STATION_ID,modeOriginal,mode,station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,line
G53072625,S178533331,Light Rail,Light Rail,Tukwila International Blvd-Red Line (Central Link)-Light Rail-existing,2050,2522,2522,3946,2522,4404,4404,-122.28774,47.46392,elevated,existing,2009,Tukwila International Blvd,Red Line (Central Link)
G53072625,S3028049141,Bus Rapid Transit,Rapid Transit,Tukwila International Boulevard-Stride S1-Bus Rapid Transit-planned,1414,1630,2214,1939,1630,2855,3439,-122.28793,47.46323,highway,planned,,Tukwila International Boulevard,Stride S1
G53063000,S1552897316,Light Rail,Light Rail,U District-Red Line (Northgate Link)-Light Rail-existing,14317,25442,25481,37504,25442,27331,39003,-122.31409,47.66111,subway,existing,2021,U District,Red Line (Northgate Link)
G53070000,S3123467437,Streetcar,Streetcar,Union Station-S. 19th-Orange Line (Tacoma Link)-Streetcar-existing,2899,5938,5938,9356,5938,5938,9356,-122.43662,47.24477,at grade,existing,2003,Union Station-S. 19th,Orange Line (Tacoma Link)
G53070000,S3967888471,Light Rail,Light Rail,Union-TCC Tacoma Link Extension-Light Rail-planned,910,1250,3418,1442,1250,1700,3937,-122.48275,47.24284,at grade,planned,,Union,TCC Tacoma Link Extension
G53063000,S2468443006,Light Rail,Light Rail,University of Washington-Red Line (University Link)-Light Rail-existing,203,205,366,205,205,207,368,-122.3037,47.64982,subway,existing,2016,University of Washington,Red Line (University Link)
G53063000,S138986857,Light Rail,Light Rail,University Street-Red Line (Central Link)-Light Rail-existing,5830,73364,73364,146728,73364,73364,146728,-122.33602,47.60783,subway,existing,2009,University Street,Red Line (Central Link)
G53057745,S515663967,Arterial Rapid Transit,Rapid Transit,Valley Medical Center-RapidRide I-Arterial Rapid Transit-planned,1196,7382,7520,13572,7382,7478,13806,-122.21283,47.44137,at grade,planned,,Valley Medical Center,RapidRide I
G53063000,S155797971,Bus Rapid Transit,Rapid Transit,Vine Street-RapidRide D-Bus Rapid Transit-existing,50733,53674,53674,56810,53674,53674,56810,-122.34801,47.61659,at grade,existing,2012,Vine Street,RapidRide D
G53063000,S1699909316,Bus Rapid Transit,Rapid Transit,Virginia-RapidRide C-Bus Rapid Transit-existing,38882,46526,46526,56031,46526,46526,56031,-122.34087,47.61243,at grade,existing,2012,Virginia,RapidRide C
