JURISDICTION_ID,STATION_ID,modeOriginal,mode,station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,line
G53003180,S156305393,Arterial Rapid Transit,Rapid Transit,37 Street-RapidRide I-Arterial Rapid Transit-planned,2406,8753,8847,15311,8753,10287,15670,-122.22234,47.34023,at grade,planned,,37 Street,RapidRide I
G53063000,S3325412519,Streetcar,Streetcar,3rd & Stewart-Center City Connector-Streetcar-proposed,5438,17336,17336,34112,17336,17336,34112,-122.33943,47.6116,at grade,proposed,,3rd & Stewart,Center City Connector
G53063000,S1973296122,Bus Rapid Transit,Rapid Transit,3rd Avenue West-RapidRide D-Bus Rapid Transit-existing,19772,31997,32700,42428,32100,32445,43326,-122.36061,47.62459,at grade,existing,2012,3rd Avenue West,RapidRide D
G53063000,S418052812,Bus Rapid Transit,Rapid Transit,3rd Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,23,78731,78731,157462,78731,78731,157462,-122.33449,47.60543,at grade,proposed,,3rd Avenue,Madison RapidRide G
G53008850,S3220110840,Bus Rapid Transit,Rapid Transit,4 Avenue SW-RapidRide F-Bus Rapid Transit-existing,11378,14753,15206,19185,14753,17950,20103,-122.33908,47.46325,at grade,existing,2014,4 Avenue SW,RapidRide F
G53063000,S3096169437,Bus Rapid Transit,Rapid Transit,41st Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,10679,36939,37041,66663,36939,37340,66857,-122.31718,47.65689,at grade,proposed,,41st Street,Roosevelt RapidRide
G53022640,S3084422170,Bus Rapid Transit,Rapid Transit,41st Street-Swift Blue Line-Bus Rapid Transit-existing,1094,12818,14440,15590,12818,14832,18856,-122.21085,47.96334,at grade,existing,2009,41st Street,Swift Blue Line
G53072625,S2176455101,Bus Rapid Transit,Rapid Transit,42 Avenue S-RapidRide F-Bus Rapid Transit-existing,2667,3181,5722,3805,3171,5201,7742,-122.28127,47.4659,at grade,existing,2014,42 Avenue S,RapidRide F
G53063000,S3096713806,Bus Rapid Transit,Rapid Transit,43rd Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,13575,32919,33110,57579,32919,33604,58245,-122.31661,47.66023,at grade,proposed,,43rd Street,Roosevelt RapidRide
G53063000,S102634080,Bus Rapid Transit,Rapid Transit,45-RapidRide C-Bus Rapid Transit-existing,1501,1610,3341,1883,1610,1668,3618,-122.3902,47.52078,at grade,existing,2012,45,RapidRide C
G53003180,S156305398,Arterial Rapid Transit,Rapid Transit,47 Street-RapidRide I-Arterial Rapid Transit-planned,372,4738,4750,8688,4738,4931,8802,-122.2223,47.34492,at grade,planned,,47 Street,RapidRide I
G53003180,S156305720,Arterial Rapid Transit,Rapid Transit,49 Street-RapidRide I-Arterial Rapid Transit-planned,70,1221,1224,2216,1221,2183,3137,-122.22704,47.35121,at grade,planned,,49 Street,RapidRide I
G53072625,S2176455100,Bus Rapid Transit,Rapid Transit,52 Avenue S-RapidRide F-Bus Rapid Transit-existing,1677,1737,2395,1785,3237,2030,4188,-122.26905,47.46513,at grade,existing,2014,52 Avenue S,RapidRide F
G53022640,S3084963509,Bus Rapid Transit,Rapid Transit,52nd Street-Swift Blue Line-Bus Rapid Transit-existing,1512,10619,12524,14030,10619,11097,16413,-122.21453,47.94939,at grade,existing,2009,52nd Street,Swift Blue Line
G53063000,S418039808,Bus Rapid Transit,Rapid Transit,5th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,106934,154348,154348,203998,154348,154348,203998,-122.33119,47.60682,at grade,proposed,,5th Avenue,Madison RapidRide G
G53063000,S2073659379,Streetcar,Streetcar,5th/Jackson-Japantown-First Hill Line-Streetcar-existing,12587,12587,12587,12587,12587,12587,12587,-122.327,47.5992,at grade,existing,2016,5th/Jackson-Japantown,First Hill Line
G53035170,S1368175279,Bus Rapid Transit,Rapid Transit,61 Avenue-Stride S3-Bus Rapid Transit-planned,689,1080,2546,1666,1080,1162,3132,-122.26233,47.75838,at grade,planned,,61 Avenue,Stride S3
G53072625,S2176455103,Bus Rapid Transit,Rapid Transit,62 Avenue S-RapidRide F-Bus Rapid Transit-existing,2130,2315,2568,2982,2570,3675,4183,-122.25633,47.46268,at grade,existing,2014,62 Avenue S,RapidRide F
G53072625,S2176455192,Bus Rapid Transit,Rapid Transit,65 Avenue S-RapidRide F-Bus Rapid Transit-existing,1131,7140,7212,13092,15255,7297,21436,-122.25186,47.46251,at grade,existing,2014,65 Avenue S,RapidRide F
G53035170,S1368175403,Bus Rapid Transit,Rapid Transit,65 Avenue-Stride S3-Bus Rapid Transit-planned,1526,2817,3662,3588,2817,3138,4700,-122.2536,47.75868,at grade,planned,,65 Avenue,Stride S3
G53070000,S2285172179,Streetcar,Streetcar,6th Avenue-Link T Line-Streetcar-uc,3190,27058,27268,41303,27058,27434,41606,-122.45292,47.25726,at grade,uc,,6th Avenue,Link T Line
G53063000,S2322798136,Bus Rapid Transit,Rapid Transit,6th Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,12464,47889,47889,83352,47889,47889,83352,-122.33802,47.61463,at grade,proposed,,6th Avenue,Roosevelt RapidRide
G53063000,S3942529624,Bus Rapid Transit,Rapid Transit,7th Avenue NW-RapidRide D-Bus Rapid Transit-existing,2789,4460,6613,5109,4460,5063,7716,-122.36417,47.7023,at grade,existing,2012,7th Avenue NW,RapidRide D
G53063000,S3175648744,Streetcar,Streetcar,7th/Jackson-Chinatown-First Hill Line-Streetcar-existing,15262,15262,15262,15262,15262,15262,15262,-122.32346,47.5992,at grade,existing,2016,7th/Jackson-Chinatown,First Hill Line
G53003180,S395188109,Arterial Rapid Transit,Rapid Transit,8 Street-RapidRide I-Arterial Rapid Transit-planned,1425,6190,6810,10869,7203,6822,12895,-122.22334,47.3157,at grade,planned,,8 Street,RapidRide I
G53063000,S418039821,Bus Rapid Transit,Rapid Transit,8th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,44256,104734,104734,184569,104734,104851,184686,-122.32845,47.60796,at grade,proposed,,8th Avenue,Madison RapidRide G
G53063000,S2322798135,Bus Rapid Transit,Rapid Transit,9th Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,89330,131271,131271,186851,131271,131281,186861,-122.33531,47.61672,at grade,proposed,,9th Avenue,Roosevelt RapidRide
G53070000,S22169543,Light Rail,Light Rail,Ainsworth-TCC Tacoma Link Extension-Light Rail-planned,1932,2015,7038,2027,2015,2209,7232,-122.45698,47.24308,at grade,planned,,Ainsworth,TCC Tacoma Link Extension
G53063000,S1470314101,Light Rail,Light Rail,Alaska Junction-West Seattle Link Extension-Light Rail-planned,6135,10513,11656,16537,10513,11241,17728,-122.38567,47.55936,elevated,planned,,Alaska Junction,West Seattle Link Extension
G53040840,S1926824899,Arterial Rapid Transit,Rapid Transit,Alderwood Mall-Swift Orange Line-Arterial Rapid Transit-uc,131,210,426,308,210,343,623,-122.27772,47.82825,at grade,uc,,Alderwood Mall,Swift Orange Line
G53072625,S387830826,Bus Rapid Transit,Rapid Transit,Andover Park East-RapidRide F-Bus Rapid Transit-existing,3126,13425,13425,23962,13425,13425,23962,-122.25,47.45577,at grade,existing,2014,Andover Park East,RapidRide F
G53003180,S1614302571,Arterial Rapid Transit,Rapid Transit,Auburn-RapidRide I-Arterial Rapid Transit-planned,1046,2643,2643,3369,2788,2643,3514,-122.23193,47.30569,at grade,planned,,Auburn,RapidRide I
G53003180,S2936341948,Commuter Rail,Commuter Rail,Auburn-Sounder-Commuter Rail-existing,1160,5997,5997,8679,7257,6551,10271,-122.23223,47.30614,at grade,existing,2000,Auburn,Sounder
G53063960,S744285363,Bus Rapid Transit,Rapid Transit,Aurora Village Transit Center-Swift Blue Line-Bus Rapid Transit-existing,1947,3198,6009,3588,3198,3207,6408,-122.34073,47.77421,at grade,existing,2009,Aurora Village Transit Center,Swift Blue Line
G53063000,S547331605,Light Rail,Light Rail,Avalon-West Seattle Link Extension-Light Rail-planned,2367,2367,3813,2458,2367,2395,3904,-122.37648,47.56472,elevated,planned,,Avalon,West Seattle Link Extension
G53072625,S1487826667,Bus Rapid Transit,Rapid Transit,Baker Boulevard-RapidRide F-Bus Rapid Transit-existing,72,1962,1962,2190,1962,1962,2190,-122.25435,47.45823,at grade,existing,2014,Baker Boulevard,RapidRide F
G53063000,S3207664229,Light Rail,Light Rail,Ballard-Ballard Link Extension-Light Rail-planned,12997,22423,22423,35653,22423,23612,35902,-122.37628,47.66867,elevated,planned,,Ballard,Ballard Link Extension
G53037270,S90233279,Bus Rapid Transit,Rapid Transit,Ballinger Way-Stride S3-Bus Rapid Transit-planned,462,611,1992,759,611,1465,2846,-122.27579,47.75381,at grade,planned,,Ballinger Way,Stride S3
G53063000,S2094549545,Light Rail,Light Rail,Beacon Hill-Red Line (Central Link)-Light Rail-existing,3158,4943,6465,6836,4943,5910,8644,-122.31164,47.57929,subway,existing,2009,Beacon Hill,Red Line (Central Link)
G53005210,S1042310128,Light Rail,Light Rail,Bel-Red/130th-Blue Line (East Link)-Light Rail-uc,29,98,131,113,98,98,146,-122.16578,47.62447,at grade,uc,,Bel-Red/130th,Blue Line (East Link)
G53005210,S1923670588,Bus Rapid Transit,Rapid Transit,Bel-Red/24-RapidRide B-Bus Rapid Transit-existing,2324,3323,4061,4238,3323,3525,5142,-122.13309,47.63158,at grade,existing,2011,Bel-Red/24,RapidRide B
G53063000,S156310944,Bus Rapid Transit,Rapid Transit,Bell Street-RapidRide D-Bus Rapid Transit-existing,46739,49514,49514,59406,49514,49514,59406,-122.34479,47.6147,at grade,existing,2012,Bell Street,RapidRide D
G53005210,S1872643088,Light Rail,Light Rail,Bellevue Downtown-Blue Line (East Link)-Light Rail-uc,6312,17076,17208,31478,17076,17076,31610,-122.19202,47.61522,elevated,uc,,Bellevue Downtown,Blue Line (East Link)
G53005210,S296332200,Bus Rapid Transit,Rapid Transit,Bellevue Transit Center-RapidRide B-Bus Rapid Transit-existing,11745,33857,34097,44016,33857,33858,44257,-122.19462,47.61551,at grade,existing,2011,Bellevue Transit Center,RapidRide B
G53057745,S495470467,Bus Rapid Transit,Rapid Transit,Boeing Commercial Airplane Group-RapidRide F-Bus Rapid Transit-existing,2,2,2,2,2,2,2,-122.23286,47.46219,at grade,existing,2014,Boeing Commercial Airplane Group,RapidRide F
G53007380,S436186064,Bus Rapid Transit,Rapid Transit,Bothell-Stride S3-Bus Rapid Transit-planned,1857,2576,3759,4631,2576,2576,5814,-122.19096,47.76757,at grade,planned,,Bothell,Stride S3
G53063000,S1946543191,Bus Rapid Transit,Rapid Transit,Boylston Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,26654,48758,48758,80666,48758,48853,80666,-122.32176,47.61075,at grade,proposed,,Boylston Avenue,Madison RapidRide G
G53063000,S3071347240,Bus Rapid Transit,Rapid Transit,Bradford/Yancy-RapidRide C-Bus Rapid Transit-existing,4096,7778,8459,13432,7933,8586,14329,-122.37081,47.5684,at grade,existing,2012,Bradford/Yancy,RapidRide C
G53007380,S37627898,Bus Rapid Transit,Rapid Transit,Brickyard-Stride S2-Bus Rapid Transit-planned,1991,5338,7310,8316,5338,6133,11070,-122.18709,47.74105,highway,planned,,Brickyard,Stride S2
G53063000,S247469277,Streetcar,Streetcar,Broadway/Denny-Capitol Hill-First Hill Line-Streetcar-existing,32830,35765,35765,41550,35765,36054,41665,-122.32094,47.61805,at grade,existing,2016,Broadway/Denny-Capitol Hill,First Hill Line
G53063000,S1918538693,Streetcar,Streetcar,Broadway/Marion-First Hill-First Hill Line-Streetcar-existing,964,15053,15053,29434,15053,15418,29434,-122.32081,47.60999,at grade,existing,2016,Broadway/Marion-First Hill,First Hill Line
G53063000,S564231695,Streetcar,Streetcar,Broadway/Pike/Pine-Capitol Hill-First Hill Line-Streetcar-existing,28951,60911,60911,97123,60911,63126,97310,-122.32081,47.61432,at grade,existing,2016,Broadway/Pike/Pine-Capitol Hill,First Hill Line
G53063000,S659696837,Streetcar,Streetcar,Broadway/Terrace-First Hill-First Hill Line-Streetcar-existing,23180,101055,101055,188681,101055,101808,188723,-122.32079,47.60517,at grade,existing,2016,Broadway/Terrace-First Hill,First Hill Line
G53008850,S1485321903,Bus Rapid Transit,Rapid Transit,Burien Transit Center-RapidRide F-Bus Rapid Transit-existing,655,5630,6588,9238,5630,6224,10354,-122.33709,47.47043,at grade,existing,2014,Burien Transit Center,RapidRide F
G53063000,S3248357563,Bus Rapid Transit,Rapid Transit,California-RapidRide C-Bus Rapid Transit-existing,10065,12206,17086,15026,12206,12990,20158,-122.38678,47.56112,at grade,existing,2012,California,RapidRide C
G53007380,S267443801,Bus Rapid Transit,Rapid Transit,Canyon Park-Stride S2-Bus Rapid Transit-planned,1168,4079,5051,6141,4153,6982,10090,-122.21415,47.79479,highway,planned,,Canyon Park,Stride S2
G53007380,S835011136,Bus Rapid Transit,Rapid Transit,Canyon Park-Swift Green Line-Bus Rapid Transit-existing,188,1400,1702,1466,1400,1400,1768,-122.21365,47.7978,at grade,existing,2019,Canyon Park,Swift Green Line
G53063000,S1677479846,Light Rail,Light Rail,Capitol Hill-Red Line (University Link)-Light Rail-existing,26991,33085,33095,42665,33085,35591,43471,-122.32019,47.61908,subway,existing,2016,Capitol Hill,Red Line (University Link)
G53022640,S2248833639,Bus Rapid Transit,Rapid Transit,Casino Corner-Swift Blue Line-Bus Rapid Transit-existing,3283,32261,34106,33323,32261,33897,36728,-122.22809,47.92198,at grade,existing,2009,Casino Corner,Swift Blue Line
G53022640,S815402653,Bus Rapid Transit,Rapid Transit,Casino Road-Swift Green Line-Bus Rapid Transit-existing,0,0,0,0,0,0,0,-122.27173,47.92005,at grade,existing,2019,Casino Road,Swift Green Line
G53033805,S700365787,Light Rail,Light Rail,Central Issaquah-South Kirkland-Issaquah Link-Light Rail-planned,93,93,161,93,93,93,161,-122.06318,47.54794,elevated,planned,,Central Issaquah,South Kirkland-Issaquah Link
G53063000,S145287161,Light Rail,Light Rail,Columbia City-Red Line (Central Link)-Light Rail-existing,3389,7268,8425,8395,7268,8390,10326,-122.29277,47.55984,at grade,existing,2009,Columbia City,Red Line (Central Link)
G53063000,S1842716371,Bus Rapid Transit,Rapid Transit,Columbia-RapidRide C-Bus Rapid Transit-existing,2903,49040,49040,98080,49040,49040,98080,-122.33275,47.60419,at grade,existing,2012,Columbia,RapidRide C
G53070000,S2081865616,Streetcar,Streetcar,Commerce Street-S. 11th-Orange Line (Tacoma Link)-Streetcar-existing,1553,6381,6381,11299,6381,6381,11299,-122.43931,47.25291,at grade,existing,2011,Commerce Street-S. 11th,Orange Line (Tacoma Link)
G53070000,S1584456096,Streetcar,Streetcar,Convention Center-S. 15th-Orange Line (Tacoma Link)-Streetcar-existing,960,8252,8252,15604,8252,8252,15604,-122.43855,47.2495,at grade,existing,2003,Convention Center-S. 15th,Orange Line (Tacoma Link)
G53040840,S2286611596,Bus Rapid Transit,Rapid Transit,Crossroads-Swift Blue Line-Bus Rapid Transit-existing,1163,1583,2204,1929,1958,3102,4128,-122.31629,47.81974,at grade,existing,2009,Crossroads,Swift Blue Line
G53063000,S733423198,Light Rail,Light Rail,Delridge-West Seattle Link Extension-Light Rail-planned,1438,1688,1800,3170,1688,2005,3282,-122.36491,47.56572,elevated,planned,,Delridge,West Seattle Link Extension
G53063000,S2046264017,Bus Rapid Transit,Rapid Transit,Denny Way-RapidRide D-Bus Rapid Transit-existing,14862,22769,22769,33557,22769,22769,33557,-122.35537,47.61859,at grade,existing,2012,Denny Way,RapidRide D
G53063000,S2685277008,Bus Rapid Transit,Rapid Transit,Denny Way-RapidRide E-Bus Rapid Transit-existing,47468,55873,55873,70556,55873,55873,70556,-122.34364,47.61856,at grade,existing,2014,Denny Way,RapidRide E
G53063000,S853985001,Light Rail,Light Rail,Denny-Ballard Link Extension-Light Rail-planned,20023,56023,56023,92023,56023,56023,92023,-122.33954,47.61829,subway,planned,,Denny,Ballard Link Extension
G53063000,S3210820633,Bus Rapid Transit,Rapid Transit,Denny-RapidRide C-Bus Rapid Transit-existing,7615,41097,41097,82194,41097,41097,82194,-122.33854,47.61857,at grade,existing,2012,Denny,RapidRide C
G53062288,S1836126310,Bus Rapid Transit,Rapid Transit,Des Moines Memorial Drive S-RapidRide F-Bus Rapid Transit-existing,1593,1848,2523,2223,1864,2261,3127,-122.32343,47.46329,at grade,existing,2014,Des Moines Memorial Drive S,RapidRide F
G53057535,S1417612647,Light Rail,Light Rail,Downtown Redmond-Blue Line (Downtown Redmond Link)-Light Rail-uc,2865,2951,2951,3051,2951,3019,3075,-122.11847,47.6716,at grade,uc,,Downtown Redmond,Blue Line (Downtown Redmond Link)
G53018965,S1353974517,Commuter Rail,Commuter Rail,DuPont-DuPont Sounder Extension-Commuter Rail-planned,178,652,652,1132,2669,1102,3599,-122.64058,47.0895,at grade,planned,,DuPont,DuPont Sounder Extension
G53003180,S2240743357,Arterial Rapid Transit,Rapid Transit,East Main Street-RapidRide I-Arterial Rapid Transit-planned,2730,22138,23124,37603,22362,24358,40863,-122.22572,47.30756,at grade,planned,,East Main Street,RapidRide I
G53005210,S3496386732,Light Rail,Light Rail,East Main-Blue Line (East Link)-Light Rail-uc,2435,3872,4903,6131,3872,4161,7448,-122.19119,47.60849,at grade,uc,,East Main,Blue Line (East Link)
G53005210,S2863156329,Light Rail,Light Rail,Eastgate-South Kirkland-Issaquah Link-Light Rail-planned,600,1577,3117,2116,1577,2010,4061,-122.14612,47.57928,at grade,planned,,Eastgate,South Kirkland-Issaquah Link
G53040840,S442076563,Arterial Rapid Transit,Rapid Transit,Edmonds College-Swift Orange Line-Arterial Rapid Transit-uc,2194,5278,6667,7712,5725,6544,10796,-122.32489,47.8159,at grade,uc,,Edmonds College,Swift Orange Line
G53020750,S4134569177,Commuter Rail,Commuter Rail,Edmonds-Sounder-Commuter Rail-existing,746,4547,4765,4992,4593,5845,6502,-122.38502,47.81073,at grade,existing,1957,Edmonds,Sounder
G53022640,S2166535928,Commuter Rail,Commuter Rail,Everett Station-Sounder-Commuter Rail-existing,537,23841,23847,34328,23841,26131,36624,-122.19732,47.97555,at grade,existing,2002,Everett Station,Sounder
G53022640,S2280522338,Bus Rapid Transit,Rapid Transit,Everett Station-Swift Blue Line-Bus Rapid Transit-existing,1081,7549,7549,12069,7549,9191,13351,-122.19823,47.97524,at grade,existing,2009,Everett Station,Swift Blue Line
G53022640,S3187579493,Light Rail,Light Rail,Everett-Everett Link Extension-Light Rail-planned,496,10206,10206,11973,10206,10206,11973,-122.19721,47.97463,elevated,planned,,Everett,Everett Link Extension
G53063000,S4107866140,Bus Rapid Transit,Rapid Transit,Fairview Avenue-RapidRide C-Bus Rapid Transit-existing,828,11526,11526,23052,14606,11526,26132,-122.33351,47.62668,at grade,existing,2012,Fairview Avenue,RapidRide C
G53063000,S1052475396,Streetcar,Streetcar,Fairview-Campus-South Lake Union Line-Streetcar-existing,4790,19360,19360,22810,19360,19360,22810,-122.33251,47.62751,at grade,existing,2007,Fairview-Campus,South Lake Union Line
G53063000,S97980399,Bus Rapid Transit,Rapid Transit,Fauntleroy Way SW-RapidRide C-Bus Rapid Transit-existing,7068,8803,10842,11322,8803,9565,13438,-122.38834,47.54471,at grade,existing,2012,Fauntleroy Way SW,RapidRide C
G53063000,S2765979172,Bus Rapid Transit,Rapid Transit,Fauntleroy-RapidRide C-Bus Rapid Transit-existing,6460,9437,11420,11466,9437,10853,14443,-122.3818,47.56107,at grade,existing,2012,Fauntleroy,RapidRide C
G53023515,S1181996317,Bus Rapid Transit,Rapid Transit,Federal Way Transit Center-RapidRide A-Bus Rapid Transit-existing,459,5398,5539,8386,6380,6801,10676,-122.29915,47.3178,at grade,existing,2010,Federal Way Transit Center,RapidRide A
G53023515,S2150240106,Light Rail,Light Rail,Federal Way-Red Line (Federal Way Link)-Light Rail-uc,2167,20849,21146,29135,20849,21972,30336,-122.30366,47.31645,elevated,uc,,Federal Way,Red Line (Federal Way Link)
G53023795,S3630470687,Light Rail,Light Rail,Fife-Tacoma Dome Link Extension-Light Rail-planned,113,510,590,510,510,800,880,-122.35181,47.24456,elevated,planned,,Fife,Tacoma Dome Link Extension
G53063000,S1200924346,Bus Rapid Transit,Rapid Transit,Galer-RapidRide E-Bus Rapid Transit-existing,20313,65868,66070,90153,66080,67123,90987,-122.34346,47.63233,at grade,existing,2014,Galer,RapidRide E
G53063000,S678094153,Bus Rapid Transit,Rapid Transit,Garfield Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,2837,4101,4688,5688,4101,4629,6513,-122.32558,47.63387,at grade,proposed,,Garfield Street,Roosevelt RapidRide
G53057745,S961714962,Arterial Rapid Transit,Rapid Transit,Grady Way-RapidRide I-Arterial Rapid Transit-planned,1928,2824,3207,3334,2824,4414,4897,-122.20887,47.47285,at grade,planned,,Grady Way,RapidRide I
G53063000,S257766384,Bus Rapid Transit,Rapid Transit,Hamlin Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,4568,5861,6061,8430,5869,6279,8655,-122.32582,47.64562,at grade,proposed,,Hamlin Street,Roosevelt RapidRide
G53063000,S3825232333,Bus Rapid Transit,Rapid Transit,Harrison Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,51495,237663,237663,458757,237663,237663,458757,-122.33433,47.62202,at grade,proposed,,Harrison Street,Roosevelt RapidRide
G53063000,S3605661608,Bus Rapid Transit,Rapid Transit,Harvard Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,3220,3713,4271,4923,4197,4061,6016,-122.32215,47.65047,at grade,proposed,,Harvard Avenue,Roosevelt RapidRide
G53070000,S4237905433,Streetcar,Streetcar,Hilltop District-Link T Line-Streetcar-uc,4547,9719,10228,14241,9719,11678,15263,-122.45172,47.25199,at grade,uc,,Hilltop District,Link T Line
G53063000,S2782746063,Light Rail,Light Rail,Interbay-Ballard Link Extension-Light Rail-planned,2842,3136,3467,3307,3136,3603,4028,-122.37873,47.65186,elevated,planned,,Interbay,Ballard Link Extension
G53063000,S3691385775,Light Rail,Light Rail,International District-Chinatown-Ballard Link Extension-Light Rail-planned,1699,1699,1699,1699,1699,1699,1699,-122.32766,47.59849,subway,planned,,International District-Chinatown,Ballard Link Extension
G53063000,S208336594,Light Rail,Light Rail,International District-Chinatown-Red Line (Central Link)-Light Rail-existing,8295,8295,8295,8295,8295,8295,8295,-122.32801,47.59843,subway,existing,2009,International District-Chinatown,Red Line (Central Link)
G53063000,S2221922088,Light Rail,Light Rail,Judkins Park-Blue Line (East Link)-Light Rail-uc,3563,6954,7493,8675,6954,8158,10101,-122.30444,47.59029,at grade,uc,,Judkins Park,Blue Line (East Link)
G53007380,S2247206994,Bus Rapid Transit,Rapid Transit,Kaysner Way-Stride S3-Bus Rapid Transit-planned,2541,19903,21416,27793,19903,21287,30591,-122.20162,47.7604,at grade,planned,,Kaysner Way,Stride S3
G53035170,S384251920,Bus Rapid Transit,Rapid Transit,Kenmore Square-Stride S3-Bus Rapid Transit-planned,1586,2270,3398,3084,2319,2764,4516,-122.23696,47.75628,at grade,planned,,Kenmore Square,Stride S3
G53035415,S1224239866,Arterial Rapid Transit,Rapid Transit,Kent High School-RapidRide I-Arterial Rapid Transit-planned,733,3159,3328,5588,3159,7183,7535,-122.20568,47.37253,at grade,planned,,Kent High School,RapidRide I
G53035415,S133329111,Commuter Rail,Commuter Rail,Kent-Sounder-Commuter Rail-existing,3260,17515,17815,23616,17515,18023,24333,-122.233,47.38451,at grade,existing,2001,Kent,Sounder
G53017635,S2062481089,Bus Rapid Transit,Rapid Transit,Kent/Des Moines Road-RapidRide A-Bus Rapid Transit-existing,1670,10868,12028,16245,10868,11827,17742,-122.29485,47.3938,at grade,existing,2010,Kent/Des Moines Road,RapidRide A
G53035415,S2217791522,Light Rail,Light Rail,Kent/Des Moines-Red Line (Federal Way Link)-Light Rail-uc,545,5799,6234,11055,5799,5799,11490,-122.29409,47.38991,elevated,uc,,Kent/Des Moines,Red Line (Federal Way Link)
G53038038,S684341907,Commuter Rail,Commuter Rail,Lakewood-Sounder-Commuter Rail-existing,959,2051,2425,2694,2165,2264,3348,-122.4992,47.15321,at grade,existing,2008,Lakewood,Sounder
G53063000,S3096250730,Bus Rapid Transit,Rapid Transit,Lynn Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,7704,9366,9534,12582,9366,10356,12874,-122.3259,47.63973,at grade,proposed,,Lynn Street,Roosevelt RapidRide
G53063000,S166116690,Bus Rapid Transit,Rapid Transit,Lynn-RapidRide E-Bus Rapid Transit-existing,5118,6516,6946,7710,6784,7286,8767,-122.34558,47.63914,at grade,existing,2014,Lynn,RapidRide E
G53040840,S753658662,Light Rail,Light Rail,Lynnwood City Center-Red Line (Lynnwood Link)-Light Rail-uc,91,832,1098,1572,1156,840,2168,-122.29412,47.81605,at grade,uc,,Lynnwood City Center,Red Line (Lynnwood Link)
G53040840,S620179816,Arterial Rapid Transit,Rapid Transit,Lynnwood City Center-Swift Orange Line-Arterial Rapid Transit-uc,1586,6525,6840,9427,6525,7940,10873,-122.2942,47.81735,at grade,uc,,Lynnwood City Center,Swift Orange Line
G53022640,S3271150603,Bus Rapid Transit,Rapid Transit,Madison Street-Swift Blue Line-Bus Rapid Transit-existing,2295,11303,14048,17251,11303,12133,20428,-122.21906,47.93625,at grade,existing,2009,Madison Street,Swift Blue Line
G53040840,S2827771919,Arterial Rapid Transit,Rapid Transit,Maple Road-Swift Orange Line-Arterial Rapid Transit-uc,1704,2334,5406,2810,2334,4376,7448,-122.28172,47.83632,at grade,uc,,Maple Road,Swift Orange Line
G53063000,S2957132520,Bus Rapid Transit,Rapid Transit,Martin Luther King Jr. Way-Madison RapidRide G-Bus Rapid Transit-proposed,4164,4849,6076,6105,4849,5118,7360,-122.2964,47.62333,at grade,proposed,,Martin Luther King Jr. Way,Madison RapidRide G
G53063000,S3680547437,Bus Rapid Transit,Rapid Transit,Mary Avenue-RapidRide D-Bus Rapid Transit-existing,2721,4647,7152,6995,4647,5172,9578,-122.37564,47.69452,at grade,existing,2012,Mary Avenue,RapidRide D
G53045005,S4066841591,Light Rail,Light Rail,Mercer Island-Blue Line (East Link)-Light Rail-uc,1877,4036,4946,5439,5142,4241,7629,-122.2332,47.58818,elevated,uc,,Mercer Island,Blue Line (East Link)
G53063000,S2457998447,Bus Rapid Transit,Rapid Transit,Mercer-RapidRide C-Bus Rapid Transit-existing,14790,34421,34421,52822,34421,34421,52822,-122.33851,47.62462,at grade,existing,2012,Mercer,RapidRide C
G53063000,S3367372691,Light Rail,Light Rail,Midtown-Ballard Link Extension-Light Rail-planned,2688,11487,11487,22974,11487,11487,22974,-122.33145,47.60615,subway,planned,,Midtown,Ballard Link Extension
G53045865,S904233868,Arterial Rapid Transit,Rapid Transit,Mill Creek Boulevard-Swift Orange Line-Arterial Rapid Transit-uc,377,516,1510,648,516,778,1772,-122.22055,47.84948,at grade,uc,,Mill Creek Boulevard,Swift Orange Line
G53063000,S2508948126,Light Rail,Light Rail,Mount Baker-Red Line (Central Link)-Light Rail-existing,2671,6742,7840,10419,7624,7034,12599,-122.29757,47.5764,elevated,existing,2009,Mount Baker,Red Line (Central Link)
G53047490,S1679635316,Light Rail,Light Rail,Mountlake Terrace-Red Line (Lynnwood Link)-Light Rail-uc,939,25890,25909,33734,25890,28648,36137,-122.31486,47.78548,highway,uc,,Mountlake Terrace,Red Line (Lynnwood Link)
G53047735,S2050178507,Commuter Rail,Commuter Rail,Mukilteo-Sounder-Commuter Rail-existing,396,926,1929,1239,926,926,2242,-122.29808,47.94917,at grade,existing,2008,Mukilteo,Sounder
